Experiment Name:,060326 Emily yeast plate GFP

Tube Name:,Sample ID:,Volume(μL):,All Events ,Cells Events,Singles Events,GFP+ Events,GFP+ Histogram Events,GFP Neg Histo Events,GFP+ vs red Events,All Events  % Total,Cells % Total,Singles % Total,GFP+ % Total,GFP+ Histogram % Total,GFP Neg Histo % Total,GFP+ vs red % Total,All Events  % Parent,Cells % Parent,Singles % Parent,GFP+ % Parent,GFP+ Histogram % Parent,GFP Neg Histo % Parent,GFP+ vs red % Parent,All Events  Events/μL(V),Cells Events/μL(V),Singles Events/μL(V),GFP+ Events/μL(V),GFP+ Histogram Events/μL(V),GFP Neg Histo Events/μL(V),GFP+ vs red Events/μL(V),All Events  Median FITC-A,Cells Median FITC-A,Singles Median FITC-A,GFP+ Median FITC-A,GFP+ Histogram Median FITC-A,GFP Neg Histo Median FITC-A,GFP+ vs red Median FITC-A,All Events  GeoMean FITC-A,Cells GeoMean FITC-A,Singles GeoMean FITC-A,GFP+ GeoMean FITC-A,GFP+ Histogram GeoMean FITC-A,GFP Neg Histo GeoMean FITC-A,GFP+ vs red GeoMean FITC-A
19-Well-E6,,3.2,10557,10314,10000,2944,840,8902,3318,100.00 %,97.70 %,94.72 %,27.89 %,7.96 %,84.32 %,31.43 %,100.00 %,97.70 %,96.96 %,29.44 %,8.40 %,89.02 %,33.18 %,3288.21,3212.52,3114.72,916.97,261.64,2772.73,1033.46,5143.4,5249.3,5072.3,14186.1,25309.0,4430.5,13155.6,4098.5,4240.5,4058.6,15651.1,27764.0,3361.2,14197.2
19-Well-E7,,17.8,11613,10274,10000,2863,827,8858,3237,100.00 %,88.47 %,86.11 %,24.65 %,7.12 %,76.28 %,27.87 %,100.00 %,88.47 %,97.33 %,28.63 %,8.27 %,88.58 %,32.37 %,654.07,578.65,563.22,161.25,46.58,498.90,182.31,4233.9,5168.3,5019.1,14210.3,24900.3,4439.3,13099.2,3104.0,4138.2,3989.6,15532.1,26846.4,3318.8,14095.8
19-Well-E8,,27.2,11228,10088,10000,2501,622,8936,2443,100.00 %,89.85 %,89.06 %,22.27 %,5.54 %,79.59 %,21.76 %,100.00 %,89.85 %,99.13 %,25.01 %,6.22 %,89.36 %,24.43 %,412.86,370.94,367.70,91.96,22.87,328.58,89.83,2162.4,3256.3,3176.1,14318.7,24344.7,2651.8,14494.9,1902.6,2362.8,2334.5,15296.3,26181.0,1971.0,15261.7
19-Well-E9,,15.4,10743,10073,10000,2456,594,9005,2416,100.00 %,93.76 %,93.08 %,22.86 %,5.53 %,83.82 %,22.49 %,100.00 %,93.76 %,99.28 %,24.56 %,5.94 %,90.05 %,24.16 %,698.18,654.64,649.89,159.61,38.60,585.23,157.01,2919.4,3568.7,3527.6,14139.4,23908.4,3060.6,14181.0,2209.3,2515.9,2493.5,15082.1,25623.9,2142.0,14964.4
19-Well-E10,,17.6,12687,10075,10000,2434,588,8993,2376,100.00 %,79.41 %,78.82 %,19.18 %,4.63 %,70.88 %,18.73 %,100.00 %,79.41 %,99.26 %,24.34 %,5.88 %,89.93 %,23.76 %,721.11,572.65,568.39,138.35,33.42,511.15,135.05,1537.3,3460.3,3405.6,14179.8,23884.4,2974.5,14338.8,1520.5,2507.7,2484.1,15113.3,25885.3,2129.5,15068.7
19-Well-E11,,23.8,21555,10063,10000,2152,483,9029,2087,100.00 %,46.69 %,46.39 %,9.98 %,2.24 %,41.89 %,9.68 %,100.00 %,46.69 %,99.37 %,21.52 %,4.83 %,90.29 %,20.87 %,906.17,423.05,420.40,90.47,20.31,379.58,87.74,176.4,2642.6,2627.4,13699.8,23077.8,2424.4,13923.0,452.1,2122.3,2109.9,14655.8,25027.1,1864.2,14629.1
19-Well-E12,,14.9,24106,10063,10000,2373,568,9025,2297,100.00 %,41.74 %,41.48 %,9.84 %,2.36 %,37.44 %,9.53 %,100.00 %,41.74 %,99.37 %,23.73 %,5.68 %,90.25 %,22.97 %,1618.99,675.85,671.61,159.37,38.15,606.13,154.27,140.5,3411.4,3381.7,13984.1,23899.7,3053.7,14312.9,400.8,2453.8,2437.7,14956.5,25531.4,2114.6,14969.6
19-Well-F1,,0.6,10667,10608,10000,1130,335,9228,1481,100.00 %,99.45 %,93.75 %,10.59 %,3.14 %,86.51 %,13.88 %,100.00 %,99.45 %,94.27 %,11.30 %,3.35 %,92.28 %,14.81 %,17015.20,16921.09,15951.25,1802.49,534.37,14719.82,2362.38,2403.2,2412.9,2256.1,14308.9,28265.9,2260.2,11889.7,2257.7,2263.4,2110.2,16215.5,30722.5,1980.8,13315.0
19-Well-F2,,0.7,18513,10657,10000,1153,340,9183,1497,100.00 %,57.56 %,54.02 %,6.23 %,1.84 %,49.60 %,8.09 %,100.00 %,57.56 %,93.84 %,11.53 %,3.40 %,91.83 %,14.97 %,25166.53,14487.10,13593.97,1567.39,462.20,12483.35,2035.02,447.9,2360.6,2196.6,13957.0,27321.8,2208.4,11971.0,809.5,2238.1,2085.9,15980.2,30216.4,1960.8,13292.3
19-Well-F3,,0.6,10872,10776,10000,1190,340,9141,1511,100.00 %,99.12 %,91.98 %,10.95 %,3.13 %,84.08 %,13.90 %,100.00 %,99.12 %,92.80 %,11.90 %,3.40 %,91.41 %,15.11 %,19657.90,19484.32,18081.22,2151.67,614.76,16528.04,2732.07,2371.7,2395.5,2215.5,14037.8,26060.5,2242.2,12023.0,2246.3,2262.4,2084.3,15715.6,28848.3,1969.5,13148.3
19-Well-F4,,0.5,10844,10771,10000,1056,321,9158,1396,100.00 %,99.33 %,92.22 %,9.74 %,2.96 %,84.45 %,12.87 %,100.00 %,99.33 %,92.84 %,10.56 %,3.21 %,91.58 %,13.96 %,20218.52,20082.41,18644.89,1968.90,598.50,17074.99,2602.83,2334.3,2353.3,2153.6,14258.3,27417.2,2182.6,11512.3,2118.3,2128.8,1956.6,16192.2,30645.1,1853.3,13029.0
19-Well-F5,,0.9,11957,10379,10000,1113,322,9368,1421,100.00 %,86.80 %,83.63 %,9.31 %,2.69 %,78.35 %,11.88 %,100.00 %,86.80 %,96.35 %,11.13 %,3.22 %,93.68 %,14.21 %,13834.00,12008.29,11569.79,1287.72,372.55,10838.58,1644.07,1826.0,2326.0,2211.4,13805.7,26803.2,2173.3,11924.2,1659.6,2177.2,2086.1,15820.8,29875.4,1938.9,13224.3
19-Well-F6,,1.2,10565,10365,10000,6969,5696,4068,6668,100.00 %,98.11 %,94.65 %,65.96 %,53.91 %,38.50 %,63.11 %,100.00 %,98.11 %,96.48 %,69.69 %,56.96 %,40.68 %,66.68 %,8618.51,8455.36,8157.61,5685.04,4646.57,3318.51,5439.49,28614.2,28605.1,26805.9,52386.9,69072.3,2852.8,52263.3,19767.9,19774.1,18523.6,56551.3,78101.3,2518.3,55221.0
19-Well-F7,,1.2,10628,10424,10000,7009,5791,4025,6668,100.00 %,98.08 %,94.09 %,65.95 %,54.49 %,37.87 %,62.74 %,100.00 %,98.08 %,95.93 %,70.09 %,57.91 %,40.25 %,66.68 %,8586.20,8421.39,8078.85,5662.47,4678.46,3251.74,5386.98,29521.5,29478.7,27387.4,53307.8,69998.2,2723.3,53344.2,20213.2,20246.1,18899.4,57184.1,77656.6,2508.4,55856.7
19-Well-F8,,1.9,10478,10281,10000,6984,5645,4100,6723,100.00 %,98.12 %,95.44 %,66.65 %,53.87 %,39.13 %,64.16 %,100.00 %,98.12 %,97.27 %,69.84 %,56.45 %,41.00 %,67.23 %,5518.43,5414.67,5266.68,3678.25,2973.04,2159.34,3540.79,26254.6,26411.5,25326.4,47901.2,64675.5,3038.6,47693.7,18576.4,18798.1,17884.2,52721.9,72882.3,2629.9,51348.4
19-Well-F9,,14.5,11220,10234,10000,6817,5609,4136,6607,100.00 %,91.21 %,89.13 %,60.76 %,49.99 %,36.86 %,58.89 %,100.00 %,91.21 %,97.71 %,68.17 %,56.09 %,41.36 %,66.07 %,772.97,705.04,688.92,469.64,386.41,284.94,455.17,21891.1,27027.6,25960.4,52839.5,69472.2,2492.2,52422.9,14137.8,18237.6,17445.1,56765.7,77474.7,2365.9,55292.0
19-Well-F10,,1.9,10540,10317,10000,6875,5623,4150,6692,100.00 %,97.88 %,94.88 %,65.23 %,53.35 %,39.37 %,63.49 %,100.00 %,97.88 %,96.93 %,68.75 %,56.23 %,41.50 %,66.92 %,5622.77,5503.81,5334.70,3667.61,2999.70,2213.90,3569.98,26790.9,26863.1,25536.6,51116.6,65825.3,2842.3,49754.7,18714.8,18848.9,17828.4,55574.8,76264.9,2524.0,53409.4
19-Well-F11,,9.1,10883,10290,10000,6782,5528,4232,6533,100.00 %,94.55 %,91.89 %,62.32 %,50.79 %,38.89 %,60.03 %,100.00 %,94.55 %,97.18 %,67.82 %,55.28 %,42.32 %,65.33 %,1190.55,1125.68,1093.95,741.92,604.74,462.96,714.68,22886.8,25318.8,24200.4,48006.4,62903.1,2520.6,47345.9,15008.4,17453.2,16488.6,53317.1,73104.6,2395.6,51648.7
19-Well-F12,,1.0,10570,10399,10000,6947,5714,4063,6566,100.00 %,98.38 %,94.61 %,65.72 %,54.06 %,38.44 %,62.12 %,100.00 %,98.38 %,96.16 %,69.47 %,57.14 %,40.63 %,65.66 %,10246.52,10080.75,9693.96,6734.40,5539.13,3938.66,6365.06,28506.1,28448.8,26914.1,51662.7,67409.0,2780.5,52141.3,19523.7,19502.3,18259.7,55583.6,75631.5,2520.9,54430.4
19-Well-G1,,0.9,10629,10483,10000,6916,5692,4080,6549,100.00 %,98.63 %,94.08 %,65.07 %,53.55 %,38.39 %,61.61 %,100.00 %,98.63 %,95.39 %,69.16 %,56.92 %,40.80 %,65.49 %,11430.01,11273.01,10753.61,7437.20,6120.96,4387.47,7042.54,28168.5,28117.6,26173.1,50635.3,67684.4,2662.4,50696.0,19251.4,19240.8,17859.3,56126.1,76240.0,2398.0,54826.1
19-Well-G2,,1.9,10433,10273,10000,6763,5525,4312,6496,100.00 %,98.47 %,95.85 %,64.82 %,52.96 %,41.33 %,62.26 %,100.00 %,98.47 %,97.34 %,67.63 %,55.25 %,43.12 %,64.96 %,5479.84,5395.80,5252.41,3552.20,2901.96,2264.84,3411.96,25321.5,25686.6,24736.7,50767.6,64231.4,2605.0,49847.2,16904.0,17312.8,16493.0,54674.5,75114.1,2384.4,53124.7
19-Well-G3,,1.2,10423,10312,10000,6891,5646,4124,6570,100.00 %,98.94 %,95.94 %,66.11 %,54.17 %,39.57 %,63.03 %,100.00 %,98.94 %,96.97 %,68.91 %,56.46 %,41.24 %,65.70 %,8379.16,8289.92,8039.10,5539.75,4538.88,3315.33,5281.69,26699.2,27008.1,25920.3,49920.1,65034.4,2360.1,49111.8,17704.8,18028.9,17061.8,54241.4,73815.0,2332.8,52400.7
19-Well-G4,,1.5,10396,10296,10000,5926,4149,5565,5931,100.00 %,99.04 %,96.19 %,57.00 %,39.91 %,53.53 %,57.05 %,100.00 %,99.04 %,97.13 %,59.26 %,41.49 %,55.65 %,59.31 %,7116.84,7048.38,6845.75,4056.79,2840.30,3809.66,4060.21,13983.1,14088.7,13477.8,29292.4,41816.0,4314.8,27789.8,9746.0,9857.2,9444.0,32319.2,47509.3,2814.6,30047.0
19-Well-G5,,3.5,10464,10206,10000,5991,4192,5505,5980,100.00 %,97.53 %,95.57 %,57.25 %,40.06 %,52.61 %,57.15 %,100.00 %,97.53 %,97.98 %,59.91 %,41.92 %,55.05 %,59.80 %,3033.04,2958.25,2898.54,1736.52,1215.07,1595.65,1733.33,13810.3,14295.2,13913.4,30578.3,43508.7,4391.7,29101.6,9610.2,10047.9,9739.6,32910.8,48688.8,2845.0,30886.0
19-Well-G6,,5.9,10600,10176,10000,5841,4067,5613,5866,100.00 %,96.00 %,94.34 %,55.10 %,38.37 %,52.95 %,55.34 %,100.00 %,96.00 %,98.27 %,58.41 %,40.67 %,56.13 %,58.66 %,1797.13,1725.25,1695.41,990.29,689.52,951.63,994.53,12241.7,13346.3,13027.5,29881.2,42681.2,4015.9,28586.2,8474.2,9399.5,9119.8,32476.0,48047.9,2724.3,30505.5
19-Well-G7,,1.1,10579,10420,10000,5978,4290,5431,5927,100.00 %,98.50 %,94.53 %,56.51 %,40.55 %,51.34 %,56.03 %,100.00 %,98.50 %,95.97 %,59.78 %,42.90 %,54.31 %,59.27 %,10066.23,9914.93,9515.29,5688.24,4082.06,5167.75,5639.71,14959.1,14835.0,13920.8,30881.4,43728.3,4134.7,29713.9,10707.4,10605.6,9931.7,34015.5,49445.8,2786.2,32003.9
19-Well-G8,,1.6,10459,10287,10000,5882,4162,5548,5874,100.00 %,98.36 %,95.61 %,56.24 %,39.79 %,53.05 %,56.16 %,100.00 %,98.36 %,97.21 %,58.82 %,41.62 %,55.48 %,58.74 %,6369.25,6264.50,6089.73,3581.98,2534.54,3378.58,3577.11,14070.2,14182.1,13538.5,31259.7,44853.1,3959.9,29830.6,9980.2,10020.8,9589.4,33999.9,50123.1,2754.9,31990.5
19-Well-G9,,8.3,10606,10134,10000,5661,3949,5737,5726,100.00 %,95.55 %,94.29 %,53.38 %,37.23 %,54.09 %,53.99 %,100.00 %,95.55 %,98.68 %,56.61 %,39.49 %,57.37 %,57.26 %,1270.71,1214.16,1198.11,678.25,473.13,687.35,686.04,11367.6,12448.8,12161.4,29820.9,42314.4,3304.7,28729.3,7415.9,8316.6,8093.6,31564.9,46102.2,2433.9,30000.1
19-Well-G10,,22.5,11150,10109,10000,5464,3744,5870,5547,100.00 %,90.66 %,89.69 %,49.00 %,33.58 %,52.65 %,49.75 %,100.00 %,90.66 %,98.92 %,54.64 %,37.44 %,58.70 %,55.47 %,495.66,449.38,444.54,242.90,166.44,260.94,246.59,8915.2,11511.7,11354.4,28718.0,41627.6,3183.7,27758.5,5730.5,7576.5,7407.3,31255.0,46305.1,2303.7,29656.6
19-Well-G11,,20.0,11038,10182,10000,5426,3846,5797,5435,100.00 %,92.24 %,90.60 %,49.16 %,34.84 %,52.52 %,49.24 %,100.00 %,92.24 %,98.21 %,54.26 %,38.46 %,57.97 %,54.35 %,551.70,508.92,499.82,271.20,192.23,289.75,271.65,9408.7,11618.9,11204.6,30132.4,41750.2,2346.9,29168.5,5989.9,7445.0,7161.0,32049.6,46078.3,2084.0,30916.1
19-Well-G12,,10.4,10646,10124,10000,5538,3849,5818,5553,100.00 %,95.10 %,93.93 %,52.02 %,36.15 %,54.65 %,52.16 %,100.00 %,95.10 %,98.78 %,55.38 %,38.49 %,58.18 %,55.53 %,1027.16,976.80,964.83,534.33,371.36,561.34,535.77,10719.3,11740.7,11455.5,29151.5,41149.8,3152.3,28449.6,7033.9,7850.5,7655.6,31334.6,45807.0,2342.1,30132.7
19-Well-H1,,10.4,10895,10146,10000,5588,3935,5732,5605,100.00 %,93.13 %,91.79 %,51.29 %,36.12 %,52.61 %,51.45 %,100.00 %,93.13 %,98.56 %,55.88 %,39.35 %,57.32 %,56.05 %,1051.44,979.16,965.07,539.28,379.76,553.18,540.92,10644.2,12273.8,11926.4,29808.5,41239.5,2801.9,29056.3,6703.4,7988.4,7749.5,31958.3,46350.4,2265.6,30700.8
19-Well-H2,,9.9,11057,10040,10000,4924,3524,6068,4930,100.00 %,90.80 %,90.44 %,44.53 %,31.87 %,54.88 %,44.59 %,100.00 %,90.80 %,99.60 %,49.24 %,35.24 %,60.68 %,49.30 %,1114.04,1011.57,1007.54,496.11,355.06,611.37,496.72,5491.8,8540.9,8471.4,30213.9,40566.8,1119.2,29988.1,3941.3,5094.4,5066.0,30972.3,43000.7,1456.9,30488.6
19-Well-H3,,11.6,11065,10040,10000,4900,3524,6106,4891,100.00 %,90.74 %,90.38 %,44.28 %,31.85 %,55.18 %,44.20 %,100.00 %,90.74 %,99.60 %,49.00 %,35.24 %,61.06 %,48.91 %,957.43,868.74,865.27,423.98,304.92,528.34,423.21,5155.5,8250.3,8241.3,29454.6,39070.8,1120.2,29204.3,3896.3,4956.2,4936.7,30623.0,42242.2,1430.4,30217.1
19-Well-H4,,13.0,11065,10032,10000,4742,3331,6266,4742,100.00 %,90.66 %,90.38 %,42.86 %,30.10 %,56.63 %,42.86 %,100.00 %,90.66 %,99.68 %,47.42 %,33.31 %,62.66 %,47.42 %,851.66,772.15,769.69,364.99,256.38,482.29,364.99,3775.8,7257.3,7170.8,29129.6,39634.5,1017.8,28924.4,3593.8,4599.6,4572.4,30268.3,42717.1,1385.4,29783.2
19-Well-H5,,14.3,10730,10030,10000,4659,3391,6203,4639,100.00 %,93.48 %,93.20 %,43.42 %,31.60 %,57.81 %,43.23 %,100.00 %,93.48 %,99.70 %,46.59 %,33.91 %,62.03 %,46.39 %,747.78,698.99,696.90,324.69,236.32,432.29,323.29,4463.7,6511.7,6468.5,30206.4,39812.4,945.3,30092.0,3809.9,4506.0,4485.8,31252.1,42937.1,1310.4,30880.6
19-Well-H6,,12.3,10636,10040,10000,4837,3545,6053,4823,100.00 %,94.40 %,94.02 %,45.48 %,33.33 %,56.91 %,45.35 %,100.00 %,94.40 %,99.60 %,48.37 %,35.45 %,60.53 %,48.23 %,861.93,813.63,810.39,391.99,287.28,490.53,390.85,6020.0,7922.3,7896.8,30701.3,39699.7,954.4,30503.8,4134.2,4814.9,4792.6,31495.1,42972.8,1324.0,31077.8
19-Well-H7,,3.5,10501,10261,10000,5753,3950,5702,5719,100.00 %,97.71 %,95.23 %,54.79 %,37.62 %,54.30 %,54.46 %,100.00 %,97.71 %,97.46 %,57.53 %,39.50 %,57.02 %,57.19 %,2967.42,2899.60,2825.85,1625.71,1116.21,1611.30,1616.10,12553.9,13159.1,12709.8,28497.6,40807.8,4064.9,27394.6,8305.1,8811.4,8504.4,31014.3,45671.3,2647.3,29368.1
19-Well-H8,,1.2,10469,10349,10000,5933,4225,5456,5836,100.00 %,98.85 %,95.52 %,56.67 %,40.36 %,52.12 %,55.75 %,100.00 %,98.85 %,96.63 %,59.33 %,42.25 %,54.56 %,58.36 %,9057.09,8953.27,8651.34,5132.84,3655.19,4720.17,5048.92,14577.2,14757.3,14027.7,30714.8,43199.2,3905.8,29937.3,9487.2,9671.4,9154.8,33003.5,47628.8,2550.0,31478.3
19-Well-H9,,1.1,10562,10375,10000,5894,4131,5532,5804,100.00 %,98.23 %,94.68 %,55.80 %,39.11 %,52.38 %,54.95 %,100.00 %,98.23 %,96.39 %,58.94 %,41.31 %,55.32 %,58.04 %,9356.34,9190.69,8858.50,5221.20,3659.45,4900.52,5141.47,14189.9,14431.3,13546.5,30421.9,43591.7,3747.4,29380.6,9260.9,9427.3,8896.4,32746.5,48030.1,2518.4,31177.4
19-Well-H10,,1.1,10586,10381,10000,5797,4140,5514,5683,100.00 %,98.06 %,94.46 %,54.76 %,39.11 %,52.09 %,53.68 %,100.00 %,98.06 %,96.33 %,57.97 %,41.40 %,55.14 %,56.83 %,9852.67,9661.87,9307.26,5395.42,3853.21,5132.02,5289.32,13627.9,13880.1,13239.3,30347.1,42684.8,3694.4,29297.8,8961.8,9225.7,8708.7,32968.9,47548.2,2447.2,31252.4
19-Well-H11,,1.6,10456,10217,10000,5603,4028,5622,5549,100.00 %,97.71 %,95.64 %,53.59 %,38.52 %,53.77 %,53.07 %,100.00 %,97.71 %,97.88 %,56.03 %,40.28 %,56.22 %,55.49 %,6511.88,6363.04,6227.89,3489.49,2508.60,3501.32,3455.86,12271.4,12702.6,12221.7,30920.7,42193.4,2695.6,30008.0,7733.3,8047.3,7758.5,32921.4,46982.7,2141.9,31354.9
19-Well-H12,,0.8,10592,10497,10000,5335,3540,6129,5288,100.00 %,99.10 %,94.41 %,50.37 %,33.42 %,57.86 %,49.92 %,100.00 %,99.10 %,95.27 %,53.35 %,35.40 %,61.29 %,52.88 %,13524.70,13403.39,12768.78,6812.15,4520.15,7825.99,6752.13,11270.7,11268.2,10472.0,27062.5,39882.1,4221.1,25393.7,8549.8,8517.3,7924.1,30034.6,45472.4,2872.3,27562.7
20-Well-A1,,1.1,10437,10349,10000,5279,3436,6280,5288,100.00 %,99.16 %,95.81 %,50.58 %,32.92 %,60.17 %,50.67 %,100.00 %,99.16 %,96.63 %,52.79 %,34.36 %,62.80 %,52.88 %,9092.10,9015.44,8711.41,4598.75,2993.24,5470.76,4606.59,10553.0,10668.6,10115.3,26422.9,40696.2,4011.4,24433.9,7869.0,7917.6,7523.6,29447.5,45515.4,2784.2,26717.4
20-Well-A2,,1.1,10470,10356,10000,5366,3437,6251,5372,100.00 %,98.91 %,95.51 %,51.25 %,32.83 %,59.70 %,51.31 %,100.00 %,98.91 %,96.56 %,53.66 %,34.37 %,62.51 %,53.72 %,9331.88,9230.27,8912.97,4782.70,3063.39,5571.50,4788.05,10862.3,10979.7,10433.5,26586.0,40699.0,4258.6,24753.3,8118.3,8183.5,7776.2,29445.5,46285.4,2883.0,27102.0
20-Well-A3,,0.8,10663,10568,10000,5474,3674,5960,5343,100.00 %,99.11 %,93.78 %,51.34 %,34.46 %,55.89 %,50.11 %,100.00 %,99.11 %,94.63 %,54.74 %,36.74 %,59.60 %,53.43 %,14114.77,13989.02,13237.15,7246.01,4863.33,7889.34,7072.61,11858.0,11846.3,10995.6,27986.9,41147.8,4091.2,26666.9,8905.1,8875.0,8229.1,30670.0,46521.5,2827.6,28466.2
20-Well-A4,,0.7,10698,10598,10000,5344,3455,6182,5299,100.00 %,99.07 %,93.48 %,49.95 %,32.30 %,57.79 %,49.53 %,100.00 %,99.07 %,94.36 %,53.44 %,34.55 %,61.82 %,52.99 %,15816.32,15668.47,14784.37,7900.77,5108.00,9139.70,7834.24,11322.2,11369.8,10484.7,26640.6,41575.4,4357.3,25120.4,8379.0,8420.7,7701.2,29794.9,46610.2,2822.1,27242.4
20-Well-A5,,7.1,12294,10101,10000,5214,3607,6036,5249,100.00 %,82.16 %,81.34 %,42.41 %,29.34 %,49.10 %,42.70 %,100.00 %,82.16 %,99.00 %,52.14 %,36.07 %,60.36 %,52.49 %,1731.18,1422.37,1408.15,734.21,507.92,849.96,739.14,5201.4,10291.6,10131.3,27854.1,38775.6,2200.4,27189.7,3827.9,6333.2,6219.8,29656.5,42312.5,1977.4,28564.7
20-Well-A6,,11.8,13680,10091,10000,5394,3733,5898,5377,100.00 %,73.76 %,73.10 %,39.43 %,27.29 %,43.11 %,39.31 %,100.00 %,73.76 %,99.10 %,53.94 %,37.33 %,58.98 %,53.77 %,1159.55,855.34,847.63,457.21,316.42,499.93,455.77,2481.8,11152.9,10967.7,28066.7,39509.3,2091.8,27785.0,3017.7,6671.2,6551.8,29759.2,42717.4,1995.4,29106.9
20-Well-A7,,11.1,10625,10084,10000,5187,3586,6043,5201,100.00 %,94.91 %,94.12 %,48.82 %,33.75 %,56.88 %,48.95 %,100.00 %,94.91 %,99.17 %,51.87 %,35.86 %,60.43 %,52.01 %,956.14,907.46,899.90,466.78,322.70,543.81,468.04,8887.7,10210.7,10021.7,28479.5,39120.4,1842.4,28082.7,5332.1,6020.0,5918.6,29882.7,42728.5,1816.5,29203.9
20-Well-A8,,10.3,10668,10079,10000,5109,3547,6046,5112,100.00 %,94.48 %,93.74 %,47.89 %,33.25 %,56.67 %,47.92 %,100.00 %,94.48 %,99.22 %,51.09 %,35.47 %,60.46 %,51.12 %,1037.25,979.99,972.30,496.75,344.88,587.85,497.04,8310.9,9694.6,9543.3,28583.6,39682.4,1713.0,28128.0,5106.7,5868.4,5779.2,29849.9,42635.6,1777.3,29017.3
20-Well-A9,,8.7,10552,10070,10000,5216,3597,5990,5206,100.00 %,95.43 %,94.77 %,49.43 %,34.09 %,56.77 %,49.34 %,100.00 %,95.43 %,99.30 %,52.16 %,35.97 %,59.90 %,52.06 %,1211.64,1156.30,1148.26,598.93,413.03,687.81,597.78,8987.8,10115.2,9960.0,28928.4,40498.7,2093.0,28456.4,5525.3,6264.0,6170.3,29989.8,43327.0,1915.4,29289.9
20-Well-A10,,20.5,11241,10122,10000,5533,3649,5939,5605,100.00 %,90.05 %,88.96 %,49.22 %,32.46 %,52.83 %,49.86 %,100.00 %,90.05 %,98.79 %,55.33 %,36.49 %,59.39 %,56.05 %,548.29,493.71,487.76,269.88,177.98,289.68,273.39,9023.7,11543.2,11350.0,26489.0,38567.0,4026.1,25209.1,5814.4,7728.8,7568.8,28546.7,42477.1,2637.1,26981.8
20-Well-A11,,3.1,10444,10211,10000,5908,4068,5601,5928,100.00 %,97.77 %,95.75 %,56.57 %,38.95 %,53.63 %,56.76 %,100.00 %,97.77 %,97.93 %,59.08 %,40.68 %,56.01 %,59.28 %,3342.08,3267.52,3200.00,1890.56,1301.76,1792.32,1896.96,13577.4,14007.9,13481.8,28393.7,40756.5,4530.3,27247.6,9163.3,9484.7,9132.4,30565.4,44449.5,2874.8,28851.2
20-Well-A12,,2.9,10482,10260,10000,5976,4190,5468,5996,100.00 %,97.88 %,95.40 %,57.01 %,39.97 %,52.17 %,57.20 %,100.00 %,97.88 %,97.47 %,59.76 %,41.90 %,54.68 %,59.96 %,3674.00,3596.19,3505.06,2094.62,1468.62,1916.57,2101.63,14184.9,14499.8,13943.0,29414.9,41031.3,4157.9,28314.6,9362.7,9662.6,9248.2,31365.4,45266.0,2717.6,29869.0
20-Well-B1,,0.9,10737,10538,10000,6240,4504,5159,6145,100.00 %,98.15 %,93.14 %,58.12 %,41.95 %,48.05 %,57.23 %,100.00 %,98.15 %,94.89 %,62.40 %,45.04 %,51.59 %,61.45 %,12143.32,11918.25,11309.79,7057.31,5093.93,5834.72,6949.87,16923.4,16502.5,15390.8,31001.8,43397.1,4712.6,30226.1,11939.1,11547.7,10759.1,33521.9,48065.4,2940.1,32001.6
20-Well-B2,,0.8,10857,10633,10000,6099,4372,5206,5982,100.00 %,97.94 %,92.11 %,56.18 %,40.27 %,47.95 %,55.10 %,100.00 %,97.94 %,94.05 %,60.99 %,43.72 %,52.06 %,59.82 %,13890.74,13604.15,12794.27,7803.23,5593.66,6660.70,7653.53,16543.7,16168.8,14909.6,31587.3,43635.2,4402.6,30511.8,11200.7,10954.7,10067.4,33437.0,48126.2,2723.6,31639.6
20-Well-B3,,2.5,10404,10119,10000,5267,3791,5916,5225,100.00 %,97.26 %,96.12 %,50.62 %,36.44 %,56.86 %,50.22 %,100.00 %,97.26 %,98.82 %,52.67 %,37.91 %,59.16 %,52.25 %,4155.30,4041.47,3993.95,2103.61,1514.11,2362.82,2086.84,9884.5,10660.9,10457.2,29630.1,39523.0,1403.1,29570.9,5860.2,6307.1,6192.3,30726.1,42621.9,1780.7,30336.8
20-Well-B4,,1.2,10434,10253,10000,5468,4043,5649,5440,100.00 %,98.27 %,95.84 %,52.41 %,38.75 %,54.14 %,52.14 %,100.00 %,98.27 %,97.53 %,54.68 %,40.43 %,56.49 %,54.40 %,9063.11,8905.89,8686.13,4749.58,3511.80,4906.80,4725.26,12024.2,12495.1,12000.5,31163.0,41141.1,1450.7,30896.9,6812.5,7070.9,6806.5,32179.9,43788.6,1780.4,31565.5
20-Well-B5,,3.1,10412,10080,10000,5007,3624,6068,4991,100.00 %,96.81 %,96.04 %,48.09 %,34.81 %,58.28 %,47.94 %,100.00 %,96.81 %,99.21 %,50.07 %,36.24 %,60.68 %,49.91 %,3354.45,3247.49,3221.71,1613.11,1167.55,1954.94,1607.96,8123.1,9238.1,9022.3,30965.2,41400.1,1160.7,30612.7,5262.9,5700.8,5621.1,31725.6,44013.7,1618.5,31291.0
20-Well-B6,,1.6,10343,10162,10000,5205,3825,5863,5172,100.00 %,98.25 %,96.68 %,50.32 %,36.98 %,56.69 %,50.00 %,100.00 %,98.25 %,98.41 %,52.05 %,38.25 %,58.63 %,51.72 %,6445.28,6332.49,6231.54,3243.52,2383.56,3653.55,3222.95,10225.0,10677.2,10411.7,31122.9,40892.2,1267.9,30885.4,6032.3,6261.1,6090.4,31914.7,43606.8,1676.1,31430.1
