Experiment Name:,060326 Emily yeast plate GFP

Tube Name:,Sample ID:,Volume(μL):,All Events ,Cells Events,Singles Events,GFP+ Events,GFP+ Histogram Events,GFP Neg Histo Events,GFP+ vs red Events,All Events  % Total,Cells % Total,Singles % Total,GFP+ % Total,GFP+ Histogram % Total,GFP Neg Histo % Total,GFP+ vs red % Total,All Events  % Parent,Cells % Parent,Singles % Parent,GFP+ % Parent,GFP+ Histogram % Parent,GFP Neg Histo % Parent,GFP+ vs red % Parent,All Events  Events/μL(V),Cells Events/μL(V),Singles Events/μL(V),GFP+ Events/μL(V),GFP+ Histogram Events/μL(V),GFP Neg Histo Events/μL(V),GFP+ vs red Events/μL(V),All Events  Median FITC-A,Cells Median FITC-A,Singles Median FITC-A,GFP+ Median FITC-A,GFP+ Histogram Median FITC-A,GFP Neg Histo Median FITC-A,GFP+ vs red Median FITC-A,All Events  GeoMean FITC-A,Cells GeoMean FITC-A,Singles GeoMean FITC-A,GFP+ GeoMean FITC-A,GFP+ Histogram GeoMean FITC-A,GFP Neg Histo GeoMean FITC-A,GFP+ vs red GeoMean FITC-A
19-Well-B1,,0.9,10862,10662,10000,4322,2342,7352,4420,100.00 %,98.16 %,92.06 %,39.79 %,21.56 %,67.69 %,40.69 %,100.00 %,98.16 %,93.79 %,43.22 %,23.42 %,73.52 %,44.20 %,12529.27,12298.57,11534.96,4985.41,2701.49,8480.50,5098.45,7416.4,7603.5,6919.9,20459.3,33548.8,4091.9,19052.1,6091.1,6301.7,5818.1,23380.3,38229.3,3145.8,21202.1
19-Well-B2,,0.6,10820,10742,10000,3972,2035,7607,4076,100.00 %,99.28 %,92.42 %,36.71 %,18.81 %,70.30 %,37.67 %,100.00 %,99.28 %,93.09 %,39.72 %,20.35 %,76.07 %,40.76 %,19170.12,19031.92,17717.30,7037.31,3605.47,13477.55,7221.57,6717.0,6808.2,6192.5,19607.2,32769.6,3997.4,17606.3,5604.4,5676.0,5203.6,22441.7,37769.7,3049.6,19921.6
19-Well-B3,,0.8,10593,10496,10000,4064,2129,7599,4242,100.00 %,99.08 %,94.40 %,38.36 %,20.10 %,71.74 %,40.05 %,100.00 %,99.08 %,95.27 %,40.64 %,21.29 %,75.99 %,42.42 %,13252.18,13130.83,12510.32,5084.20,2663.45,9506.59,5306.88,6711.7,6805.3,6383.5,19694.6,33138.3,4034.9,18118.1,5675.0,5768.4,5431.2,22616.3,37791.1,3104.3,20212.3
19-Well-B4,,0.7,10842,10639,10000,2951,1321,8338,3294,100.00 %,98.13 %,92.23 %,27.22 %,12.18 %,76.90 %,30.38 %,100.00 %,98.13 %,93.99 %,29.51 %,13.21 %,83.38 %,32.94 %,15043.29,14761.63,13875.01,4094.52,1832.89,11568.99,4570.43,4874.8,4819.5,4431.4,17492.4,29411.5,3490.7,15258.0,4274.9,4189.6,3872.8,19605.5,33341.8,2748.2,16899.4
19-Well-B5,,1.2,10741,10480,10000,3065,1424,8331,3425,100.00 %,97.57 %,93.10 %,28.54 %,13.26 %,77.56 %,31.89 %,100.00 %,97.57 %,95.42 %,30.65 %,14.24 %,83.31 %,34.25 %,8643.97,8433.93,8047.64,2466.60,1145.98,6704.49,2756.32,4915.3,4791.0,4507.6,17971.3,30313.6,3364.2,15859.0,4434.1,4277.7,4015.2,19900.5,33028.8,2767.4,17367.7
19-Well-B6,,0.8,10955,10655,10000,3166,1426,8256,3485,100.00 %,97.26 %,91.28 %,28.90 %,13.02 %,75.36 %,31.81 %,100.00 %,97.26 %,93.85 %,31.66 %,14.26 %,82.56 %,34.85 %,14514.17,14116.70,13248.90,4194.60,1889.29,10938.29,4617.24,5135.3,5038.7,4654.8,17575.9,30595.6,3517.0,15723.3,4620.3,4465.8,4112.0,19853.6,33906.9,2834.2,17549.0
19-Well-B7,,8.2,11193,10211,10000,2645,1077,8627,2969,100.00 %,91.23 %,89.34 %,23.63 %,9.62 %,77.07 %,26.53 %,100.00 %,91.23 %,97.93 %,26.45 %,10.77 %,86.27 %,29.69 %,1373.05,1252.58,1226.70,324.46,132.12,1058.27,364.21,3087.4,3709.3,3612.3,16563.5,29189.0,2839.9,14792.3,2776.9,3287.2,3190.9,18558.8,32238.1,2377.2,16312.3
19-Well-B8,,0.8,10797,10563,10000,3044,1395,8288,3385,100.00 %,97.83 %,92.62 %,28.19 %,12.92 %,76.76 %,31.35 %,100.00 %,97.83 %,94.67 %,30.44 %,13.95 %,82.88 %,33.85 %,12806.62,12529.06,11861.27,3610.57,1654.65,9830.62,4015.04,4957.5,4869.9,4528.2,17679.9,30296.8,3497.5,15662.5,4433.6,4300.5,4010.0,20072.5,34152.7,2790.8,17435.3
19-Well-B9,,0.7,10949,10775,10000,4723,2645,7072,4941,100.00 %,98.41 %,91.33 %,43.14 %,24.16 %,64.59 %,45.13 %,100.00 %,98.41 %,92.81 %,47.23 %,26.45 %,70.72 %,49.41 %,15551.67,15304.53,14203.74,6708.43,3756.89,10044.88,7018.07,9306.6,9153.6,8241.7,21281.4,32472.4,4899.4,19510.1,7706.4,7570.9,6875.0,23325.5,36790.4,3615.8,21133.9
19-Well-B10,,60.2,12117,10097,10000,3553,1693,7957,3853,100.00 %,83.33 %,82.53 %,29.32 %,13.97 %,65.67 %,31.80 %,100.00 %,83.33 %,99.04 %,35.53 %,16.93 %,79.57 %,38.53 %,201.21,167.67,166.06,59.00,28.11,132.13,63.98,3435.0,5274.7,5208.7,18325.9,30068.7,3621.9,16661.5,2794.8,4276.4,4213.1,20023.9,32759.7,2702.4,17981.4
19-Well-B11,,14.5,14081,10389,10000,4520,2372,7282,4773,100.00 %,73.78 %,71.02 %,32.10 %,16.85 %,51.72 %,33.90 %,100.00 %,73.78 %,96.26 %,45.20 %,23.72 %,72.82 %,47.73 %,972.82,717.75,690.88,312.28,163.88,503.10,329.75,3774.6,8021.7,7615.7,19871.7,33096.7,4622.9,18420.6,2972.7,6584.2,6197.4,22481.5,36651.4,3421.9,20537.7
